listing_id,price,zone,avg_sharpness,avg_brightness,avg_resolution,avg_filesize_kb,price_q
100312248,2700,Salamanca-Retiro,718.2938842211219,150.03735677515712,1177610.0,149.15732421875,Mid-High
100524651,2600,Periferia Norte,2346.6657176262443,133.9392153951914,1146195.0,203.65810546875,Mid-High
100683018,2300,Chamberí,375.93003702471117,142.6559742160252,1065550.0,115.4580078125,Mid-High
100765804,3750,Salamanca-Retiro,181.63650490939762,137.74146656672045,2250230.0,153.73564453125,Premium
100793357,2100,Periferia Norte,1693.8788805461106,110.02400248873865,1289480.0,175.97294921875,Mid-High
100824987,1470,Sur-Sureste,1382.2247150550843,160.11152622998364,1122795.0,136.78330078125,Low-Mid
100836073,2735,Norte,1024.2055827217553,165.93522374587613,1146195.0,157.9939453125,Premium
100981267,3550,Centro,467.36102703201533,153.71535424682133,1333995.0,116.664453125,Premium
101241231,2070,Periferia Norte,392.47477295073696,198.4114881501253,1143890.0,71.73232421875,Mid-High
101244734,1790,Norte,871.597456506541,139.42098648379402,968525.0,121.567578125,Low-Mid
101288515,3260,Centro,1436.1280328999806,162.88195201784418,1146195.0,147.8533203125,Premium
101293164,3430,Centro,981.5315364455994,156.75354820504202,1146195.0,141.64775390625,Premium
101307731,2200,Chamberí,196.18167296372326,122.68018234507088,2229230.0,215.71533203125,Mid-High
101402886,3145,Centro,1347.2822601750865,154.0390197354757,1146195.0,143.3751953125,Premium
101570083,1200,Chamberí,218.55410403459524,162.4286177357793,2219180.0,222.383203125,Budget
101580197,5000,Centro,211.038392702845,187.6440014610696,1146195.0,83.34736328125,Premium
101642147,1650,Salamanca-Retiro,208.1532153817339,113.06834869246445,1719250.0,135.33125,Low-Mid
101666203,3350,Salamanca-Retiro,297.5856306885238,154.43962765091072,1145060.0,95.409375,Premium
101784564,1950,Norte,213.72791306834924,146.17220991591063,2250230.0,155.14814453125,Mid-High
101933861,1050,Arganzuela,305.52751623297326,153.68212417792893,1289630.0,122.5154296875,Budget
101941855,3400,Oeste,973.5668722777309,136.07060280242473,1304955.0,130.81591796875,Premium
101952295,2100,Periferia Norte,1152.3278962458742,141.3094086043469,1146195.0,130.49951171875,Mid-High
101981401,2300,Chamberí,963.3765009360408,156.33950221247972,1328150.0,135.99931640625,Mid-High
102161730,1500,Periferia Norte,278.715634857253,151.56355875339247,1146195.0,125.83115234375,Low-Mid
102257004,3100,Salamanca-Retiro,456.4501316914133,189.20850205407422,1289480.0,137.74580078125,Premium
102335893,1900,Salamanca-Retiro,381.47775461859436,109.33772322757322,1987730.0,182.432421875,Mid-High
102357038,1790,Chamberí,188.69336900862706,174.07216893007427,2086640.0,132.636328125,Low-Mid
102448665,1100,Chamberí,81.09769432180266,157.3598566037155,2283630.0,170.3318359375,Budget
102771254,1650,Oeste,548.2797102636854,135.60575078875573,1420730.0,152.8666015625,Low-Mid
102924144,3650,Chamberí,1022.7998453947757,146.21009283018986,1146195.0,139.6412109375,Premium
102932265,1100,Periferia Norte,786.0561394906194,111.47205621221708,1284370.0,161.330078125,Budget
102977339,2450,Centro,470.527098347099,131.47474822577234,2488610.0,243.71484375,Mid-High
103165627,1800,Salamanca-Retiro,1389.810276736041,148.2272845706246,1146195.0,147.3201171875,Low-Mid
103305819,1330,Periferia Norte,1020.1176830640497,173.2909901793586,1147245.0,154.01904296875,Budget
103337114,1400,Oeste,1136.503175395405,151.95127292537,1289480.0,153.63740234375,Low-Mid
103348783,2800,Salamanca-Retiro,608.086525000618,179.89036729105717,1333695.0,107.289453125,Premium
103382780,950,Arganzuela,103.71717716230201,118.92409137174707,1759383.3333333333,110.19270833333333,Budget
103392843,2480,Chamberí,832.0066638854216,155.03796889425251,1146195.0,137.68369140625,Mid-High
103393160,5000,Salamanca-Retiro,1316.6703604490908,127.15405288102542,1500230.0,181.54921875,Premium
103404713,5500,Salamanca-Retiro,412.6206665778579,191.96400738939622,1149550.0,75.37490234375,Premium
103407962,1900,Arganzuela,177.53133728017838,161.0308644380744,1146945.0,92.93125,Mid-High
103576303,3500,Chamberí,516.1201143324791,181.01725170696005,1289480.0,125.41318359375,Premium
103636550,6200,Salamanca-Retiro,1082.6890476301235,158.17866714431474,1333695.0,177.576953125,Premium
103705068,3300,Centro,1145.829798567273,164.77326448606445,1715295.0,165.35009765625,Premium
103750795,1300,Periferia Norte,1402.1321596758269,115.3402393167066,1572980.0,228.73203125,Budget
103762859,3100,Centro,836.8828990139449,142.26854336471814,2098880.0,217.24609375,Premium
103787612,3235,Chamberí,1166.6172861686266,143.09657103866067,1146195.0,156.9205078125,Premium
103897233,1750,Centro,279.4201868291444,132.19197879870282,1600895.0,128.73935546875,Low-Mid
103907333,1220,Norte,723.8031891750484,135.84284766922323,1461633.3333333333,106.83968098958333,Budget
