listing_id,photo_idx,room_label,room_confidence,source_path
100312248,0,Living room,0.066047035,100312248/000.jpg
100312248,1,Living room,0.032063365,100312248/001.jpg
100312248,2,Living room,0.049456522,100312248/002.jpg
100312248,3,Living room,0.055453256,100312248/003.jpg
100312248,4,Living room,0.05918356,100312248/004.jpg
100312248,5,Dining room,0.085856035,100312248/005.jpg
100312248,6,Dining room,0.08983403,100312248/006.jpg
100312248,7,Terrace,0.08766499,100312248/007.jpg
100312248,8,Bedroom,0.060555417,100312248/008.jpg
100312248,9,Bedroom,0.050422188,100312248/009.jpg
100312248,10,Bathroom,0.055415608,100312248/010.jpg
100312248,11,Storage,0.063696794,100312248/011.jpg
100312248,12,Bathroom,0.060933083,100312248/012.jpg
100312248,13,Kitchen,0.051536977,100312248/013.jpg
100312248,14,Kitchen,0.056674585,100312248/014.jpg
100312248,15,Hallway,0.088116,100312248/015.jpg
100312248,16,Hallway,0.07123106,100312248/016.jpg
100524651,0,Pool,0.08758437,100524651/000.jpg
100524651,1,Terrace,0.08124869,100524651/001.jpg
100524651,2,Living room,0.050611842,100524651/002.jpg
100524651,3,Dining room,0.027139124,100524651/003.jpg
100524651,4,Kitchen,0.0568296,100524651/004.jpg
100524651,5,Terrace,0.07077888,100524651/005.jpg
100524651,6,Terrace,0.078335196,100524651/006.jpg
100524651,7,Pool,0.058257096,100524651/007.jpg
100524651,8,Hallway,0.05476288,100524651/008.jpg
100524651,9,Terrace,0.0595727,100524651/009.jpg
100524651,10,Terrace,0.041193966,100524651/010.jpg
100524651,11,Bedroom,0.051602364,100524651/011.jpg
100524651,12,Hallway,0.077629514,100524651/012.jpg
100524651,13,Bathroom,0.07315618,100524651/013.jpg
100524651,14,Bedroom,0.048131444,100524651/014.jpg
100524651,15,Bedroom,0.055078518,100524651/015.jpg
100524651,16,Bedroom,0.067579195,100524651/016.jpg
100524651,17,Bathroom,0.06799341,100524651/017.jpg
100524651,18,Bathroom,0.06649829,100524651/018.jpg
100524651,19,Bedroom,0.04343799,100524651/019.jpg
100524651,20,Storage,0.050589476,100524651/020.jpg
100524651,21,Storage,0.04121824,100524651/021.jpg
100524651,22,Hallway,0.045447003,100524651/022.jpg
100524651,23,Dining room,0.06373842,100524651/023.jpg
100524651,24,Hallway,0.046194404,100524651/024.jpg
100524651,25,Bathroom,0.053514037,100524651/025.jpg
100524651,26,Hallway,0.055686403,100524651/026.jpg
100524651,27,Hallway,0.09120146,100524651/027.jpg
100524651,28,Dining room,0.06923818,100524651/028.jpg
100524651,29,Dining room,0.07007375,100524651/029.jpg
100524651,30,Dining room,0.091867484,100524651/030.jpg
100524651,31,Kitchen,0.057528056,100524651/031.jpg
100524651,32,Kitchen,0.055565517,100524651/032.jpg
100524651,33,Kitchen,0.058423795,100524651/033.jpg
100524651,34,Kitchen,0.05688629,100524651/034.jpg
100524651,35,Dining room,0.058028124,100524651/035.jpg
100524651,36,Dining room,0.07720314,100524651/036.jpg
100524651,37,Kitchen,0.08218159,100524651/037.jpg
100524651,38,Kitchen,0.05722325,100524651/038.jpg
100524651,39,Floor plan,0.07990601,100524651/039.jpg
100524651,40,Floor plan,0.08070439,100524651/040.jpg
100683018,0,Living room,0.076825485,100683018/000.jpg
100683018,1,Terrace,0.06154798,100683018/001.jpg
100683018,2,Hallway,0.08318205,100683018/002.jpg
100683018,3,Hallway,0.10113359,100683018/003.jpg
100683018,4,Hallway,0.042991485,100683018/004.jpg
100683018,5,Hallway,0.07517475,100683018/005.jpg
100683018,6,Storage,0.06794388,100683018/006.jpg
100683018,7,Bedroom,0.06375074,100683018/007.jpg
100683018,8,Bedroom,0.05987488,100683018/008.jpg
100683018,9,Bedroom,0.06878995,100683018/009.jpg
100683018,10,Bedroom,0.06230296,100683018/010.jpg
100683018,11,Bedroom,0.054906633,100683018/011.jpg
100683018,12,Living room,0.052402392,100683018/012.jpg
100683018,13,Dining room,0.07469903,100683018/013.jpg
100683018,14,Living room,0.051776625,100683018/014.jpg
100683018,15,Living room,0.05692042,100683018/015.jpg
100683018,16,Bedroom,0.070398256,100683018/016.jpg
100683018,17,Bedroom,0.07078376,100683018/017.jpg
100683018,18,Bedroom,0.045436278,100683018/018.jpg
100683018,19,Living room,0.054190915,100683018/019.jpg
100683018,20,Bedroom,0.05660932,100683018/020.jpg
100683018,21,Dining room,0.07668635,100683018/021.jpg
100683018,22,Dining room,0.08170447,100683018/022.jpg
100683018,23,Dining room,0.0793225,100683018/023.jpg
100683018,24,Storage,0.062052332,100683018/024.jpg
100683018,25,Bedroom,0.043605104,100683018/025.jpg
100683018,26,Bathroom,0.0872823,100683018/026.jpg
100683018,27,Bathroom,0.07263734,100683018/027.jpg
100683018,28,Bathroom,0.08396646,100683018/028.jpg
100683018,29,Kitchen,0.07866153,100683018/029.jpg
100683018,30,Kitchen,0.041537143,100683018/030.jpg
100683018,31,Kitchen,0.08162735,100683018/031.jpg
100683018,32,Hallway,0.06478346,100683018/032.jpg
100683018,33,Terrace,0.068884015,100683018/033.jpg
100765804,0,Living room,0.04983148,100765804/000.jpg
100765804,1,Living room,0.0391532,100765804/001.jpg
100765804,2,Living room,0.062222946,100765804/002.jpg
100765804,3,Living room,0.05574481,100765804/003.jpg
100765804,4,Dining room,0.069532916,100765804/004.jpg
100765804,5,Dining room,0.0560256,100765804/005.jpg
100765804,6,Kitchen,0.054291263,100765804/006.jpg
100765804,7,Hallway,0.050809536,100765804/007.jpg
100765804,8,Hallway,0.06253088,100765804/008.jpg
100765804,9,Bedroom,0.04517357,100765804/009.jpg
100765804,10,Bedroom,0.049691238,100765804/010.jpg
100765804,11,Storage,0.09610002,100765804/011.jpg
100765804,12,Bathroom,0.06957686,100765804/012.jpg
100765804,13,Bathroom,0.06953604,100765804/013.jpg
100765804,14,Bedroom,0.05437767,100765804/014.jpg
100765804,15,Bedroom,0.055086557,100765804/015.jpg
100765804,16,Bathroom,0.065695316,100765804/016.jpg
100765804,17,Bedroom,0.05958379,100765804/017.jpg
100765804,18,Bedroom,0.05740957,100765804/018.jpg
100765804,19,Terrace,0.09866309,100765804/019.jpg
100765804,20,Terrace,0.07198797,100765804/020.jpg
100765804,21,Terrace,0.06639911,100765804/021.jpg
100793357,0,Terrace,0.11386232,100793357/000.jpg
100793357,1,Terrace,0.07395503,100793357/001.jpg
100793357,2,Terrace,0.087477565,100793357/002.jpg
100793357,3,Terrace,0.1148379,100793357/003.jpg
100793357,4,Terrace,0.0776609,100793357/004.jpg
100793357,5,Living room,0.0717134,100793357/005.jpg
100793357,6,Terrace,0.068794064,100793357/006.jpg
100793357,7,Living room,0.05355108,100793357/007.jpg
100793357,8,Hallway,0.080350034,100793357/008.jpg
100793357,9,Kitchen,0.07747873,100793357/009.jpg
100793357,10,Kitchen,0.07750772,100793357/010.jpg
100793357,11,Kitchen,0.074483484,100793357/011.jpg
100793357,12,Terrace,0.12204418,100793357/012.jpg
100793357,13,Terrace,0.10398315,100793357/013.jpg
100793357,14,Terrace,0.084296286,100793357/014.jpg
100793357,15,Terrace,0.10572534,100793357/015.jpg
100793357,16,Bedroom,0.05971255,100793357/016.jpg
100793357,17,Bedroom,0.062062893,100793357/017.jpg
100793357,18,Bathroom,0.07873936,100793357/018.jpg
100793357,19,Bedroom,0.056049034,100793357/019.jpg
100793357,20,Storage,0.05906884,100793357/020.jpg
100793357,21,Bathroom,0.0688357,100793357/021.jpg
100793357,22,Bedroom,0.06829059,100793357/022.jpg
100793357,23,Bedroom,0.062796615,100793357/023.jpg
100824987,0,Pool,0.08973304,100824987/000.jpg
100824987,1,Pool,0.08613755,100824987/001.jpg
100824987,2,Hallway,0.075139545,100824987/002.jpg
100824987,3,Garage,0.11952496,100824987/003.jpg
100824987,4,Pool,0.0983659,100824987/004.jpg
100824987,5,Pool,0.10130438,100824987/005.jpg
100824987,6,Living room,0.04509924,100824987/006.jpg
100824987,7,Kitchen,0.06140871,100824987/007.jpg
100824987,8,Kitchen,0.064839385,100824987/008.jpg
100824987,9,Kitchen,0.082572,100824987/009.jpg
100824987,10,Hallway,0.060711488,100824987/010.jpg
100824987,11,Living room,0.05185391,100824987/011.jpg
100824987,12,Bedroom,0.05753385,100824987/012.jpg
100824987,13,Bedroom,0.056675937,100824987/013.jpg
100824987,14,Bedroom,0.055662826,100824987/014.jpg
100824987,15,Kitchen,0.05339686,100824987/015.jpg
100824987,16,Bedroom,0.07922615,100824987/016.jpg
100824987,17,Bedroom,0.056635432,100824987/017.jpg
100824987,18,Bedroom,0.07018711,100824987/018.jpg
100824987,19,Bedroom,0.06839705,100824987/019.jpg
100824987,20,Bedroom,0.059699032,100824987/020.jpg
100824987,21,Bedroom,0.045717053,100824987/021.jpg
100824987,22,Bathroom,0.07791798,100824987/022.jpg
100824987,23,Bathroom,0.06381541,100824987/023.jpg
100824987,24,Terrace,0.069068745,100824987/024.jpg
100824987,25,Hallway,0.08097586,100824987/025.jpg
100824987,26,Floor plan,-0.01732807,100824987/026.jpg
100824987,27,Floor plan,0.071794264,100824987/027.jpg
100836073,0,Living room,0.09049124,100836073/000.jpg
100836073,1,Terrace,0.087764084,100836073/001.jpg
100836073,2,Living room,0.07050786,100836073/002.jpg
100836073,3,Living room,0.047292385,100836073/003.jpg
100836073,4,Living room,0.08704891,100836073/004.jpg
100836073,5,Terrace,0.06450979,100836073/005.jpg
100836073,6,Terrace,0.08877932,100836073/006.jpg
100836073,7,Bedroom,0.076296315,100836073/007.jpg
100836073,8,Bedroom,0.07291558,100836073/008.jpg
100836073,9,Bedroom,0.055991992,100836073/009.jpg
100836073,10,Bathroom,0.0763761,100836073/010.jpg
100836073,11,Bathroom,0.07726617,100836073/011.jpg
100836073,12,Bedroom,0.083466634,100836073/012.jpg
100836073,13,Bedroom,0.05920982,100836073/013.jpg
100836073,14,Bedroom,0.04344092,100836073/014.jpg
100836073,15,Bedroom,0.04016661,100836073/015.jpg
100836073,16,Bedroom,0.052233834,100836073/016.jpg
100836073,17,Dining room,0.052829184,100836073/017.jpg
100836073,18,Living room,0.070886396,100836073/018.jpg
100836073,19,Kitchen,0.0594946,100836073/019.jpg
100836073,20,Kitchen,0.066824794,100836073/020.jpg
100836073,21,Exterior,0.02931331,100836073/021.jpg
100836073,22,Hallway,0.06002768,100836073/022.jpg
100836073,23,Terrace,0.08920109,100836073/023.jpg
100836073,24,Living room,0.062167045,100836073/024.jpg
100836073,25,Floor plan,0.07517372,100836073/025.jpg
100981267,0,Dining room,0.07441422,100981267/000.jpg
100981267,1,Living room,0.06011432,100981267/001.jpg
100981267,2,Living room,0.053741027,100981267/002.jpg
100981267,3,Living room,0.068805605,100981267/003.jpg
100981267,4,Kitchen,0.06000485,100981267/004.jpg
100981267,5,Kitchen,0.07294964,100981267/005.jpg
100981267,6,Bedroom,0.06898174,100981267/006.jpg
100981267,7,Bedroom,0.06734883,100981267/007.jpg
100981267,8,Bedroom,0.04753092,100981267/008.jpg
100981267,9,Bathroom,0.07606042,100981267/009.jpg
100981267,10,Bathroom,0.08210402,100981267/010.jpg
100981267,11,Bedroom,0.079693,100981267/011.jpg
100981267,12,Bedroom,0.06216618,100981267/012.jpg
100981267,13,Bathroom,0.09258002,100981267/013.jpg
100981267,14,Bathroom,0.066589095,100981267/014.jpg
100981267,15,Hallway,0.047874562,100981267/015.jpg
100981267,16,Exterior,0.053518884,100981267/016.jpg
101241231,0,Terrace,0.07700812,101241231/000.jpg
101241231,1,Exterior,0.08328519,101241231/001.jpg
101241231,2,Living room,0.056580465,101241231/002.jpg
101241231,3,Living room,0.05393462,101241231/003.jpg
101241231,4,Living room,0.056468498,101241231/004.jpg
101241231,5,Bedroom,0.06516427,101241231/005.jpg
101241231,6,Bedroom,0.0757787,101241231/006.jpg
101241231,7,Bedroom,0.05859111,101241231/007.jpg
101241231,8,Hallway,0.051524915,101241231/008.jpg
101241231,9,Hallway,0.08490303,101241231/009.jpg
101241231,10,Kitchen,0.076227,101241231/010.jpg
101241231,11,Kitchen,0.064689204,101241231/011.jpg
101241231,12,Kitchen,0.058897432,101241231/012.jpg
101241231,13,Kitchen,0.07584962,101241231/013.jpg
101241231,14,Bathroom,0.083323486,101241231/014.jpg
101241231,15,Bathroom,0.06167919,101241231/015.jpg
101241231,16,Hallway,0.08412278,101241231/016.jpg
101241231,17,Hallway,0.07140785,101241231/017.jpg
101241231,18,Hallway,0.0807159,101241231/018.jpg
101241231,19,Terrace,0.078154005,101241231/019.jpg
101244734,0,Dining room,0.07471976,101244734/000.jpg
101244734,1,Kitchen,0.047946475,101244734/001.jpg
101244734,2,Living room,0.06762393,101244734/002.jpg
101244734,3,Living room,0.054014202,101244734/003.jpg
101244734,4,Living room,0.08137691,101244734/004.jpg
101244734,5,Living room,0.038071565,101244734/005.jpg
101244734,6,Living room,0.033104103,101244734/006.jpg
101244734,7,Bedroom,0.07261096,101244734/007.jpg
101244734,8,Living room,0.054032482,101244734/008.jpg
101244734,9,Living room,0.04536296,101244734/009.jpg
101244734,10,Bedroom,0.064030856,101244734/010.jpg
101244734,11,Bedroom,0.051948916,101244734/011.jpg
101288515,0,Living room,0.08210532,101288515/000.jpg
101288515,1,Living room,0.06026651,101288515/001.jpg
101288515,2,Living room,0.07408275,101288515/002.jpg
101288515,3,Living room,0.055631965,101288515/003.jpg
101288515,4,Dining room,0.06927754,101288515/004.jpg
101288515,5,Dining room,0.063367344,101288515/005.jpg
101288515,6,Dining room,0.06242178,101288515/006.jpg
101288515,7,Kitchen,0.055997457,101288515/007.jpg
101288515,8,Dining room,0.052883897,101288515/008.jpg
101288515,9,Dining room,0.071120955,101288515/009.jpg
101288515,10,Living room,0.03876017,101288515/010.jpg
101288515,11,Bedroom,0.07231254,101288515/011.jpg
101288515,12,Bedroom,0.075970136,101288515/012.jpg
101288515,13,Bathroom,0.07127099,101288515/013.jpg
101288515,14,Bedroom,0.08063092,101288515/014.jpg
101288515,15,Bedroom,0.07872967,101288515/015.jpg
101288515,16,Bedroom,0.09024211,101288515/016.jpg
101288515,17,Bathroom,0.075000644,101288515/017.jpg
101288515,18,Bedroom,0.0601087,101288515/018.jpg
101288515,19,Bedroom,0.06701898,101288515/019.jpg
101288515,20,Bathroom,0.07385526,101288515/020.jpg
101288515,21,Bedroom,0.08121917,101288515/021.jpg
101288515,22,Bedroom,0.067965634,101288515/022.jpg
101288515,23,Bedroom,0.046676878,101288515/023.jpg
101288515,24,Bedroom,0.0606075,101288515/024.jpg
101288515,25,Floor plan,0.07442508,101288515/025.jpg
101293164,0,Living room,0.083989084,101293164/000.jpg
101293164,1,Living room,0.06561382,101293164/001.jpg
101293164,2,Bedroom,0.079700865,101293164/002.jpg
101293164,3,Bedroom,0.08137786,101293164/003.jpg
101293164,4,Bedroom,0.061883062,101293164/004.jpg
101293164,5,Bedroom,0.05299644,101293164/005.jpg
101293164,6,Bedroom,0.050813857,101293164/006.jpg
101293164,7,Bedroom,0.04556851,101293164/007.jpg
101293164,8,Bathroom,0.07385526,101293164/008.jpg
101293164,9,Dining room,0.026635446,101293164/009.jpg
101293164,10,Living room,0.07208253,101293164/010.jpg
101293164,11,Living room,0.058271203,101293164/011.jpg
101293164,12,Living room,0.018064974,101293164/012.jpg
101293164,13,Living room,0.069202766,101293164/013.jpg
101293164,14,Living room,0.035689346,101293164/014.jpg
101293164,15,Living room,0.041577127,101293164/015.jpg
101293164,16,Bathroom,0.07127099,101293164/016.jpg
101293164,17,Bathroom,0.075000644,101293164/017.jpg
101293164,18,Bedroom,0.06731976,101293164/018.jpg
101293164,19,Bedroom,0.06536747,101293164/019.jpg
101293164,20,Bedroom,0.0654568,101293164/020.jpg
